А,1299
Б,1779
В,553
Г,1059
Д,810
Е,107
Ё,2
Ж,423
З,674
И,368
Й,4
К,2443
Л,743
М,1366
Н,500
О,845
П,1884
Р,612
С,1913
Т,1059
У,287
Ф,203
Х,299
Ц,245
Ч,734
Ш,291
Щ,162
Э,238
Ю,148
Я,227
